Day,Victory or Defeat,Team,SquadRanking,PlayerRanking,TotalValor,Time,,
2023/3/12,Victory,20,9th,1,1,1,,
2023/3/15,Victory,20,1,1,1,1,,
2023/3/15,Victory,20,1,1,1,1,,
2023/3/16,Victory,20,2th,17th,6770,1,,
2023/3/16,Victory,20,3th,16th,7150,1,,
2023/3/17,Defeat,20,2th,6th,1,9:00,,
2023/3/17,Defeat,20,7th,33rd,3480,23:00,,
2023/3/18,Defeat,20,10th,36th,3280,0:00,,
2023/3/18,Defeat,50,3th,26th,8270,0:00,,
2023/3/18,Victory,20,9th,21th,5620,0:00,,
2023/3/18,Defeat,20,4th,20th,4980,9:00,,
2023/3/18,Victory,20,1th,9th,6240,9:00,,
2023/3/18,Victory,20,4th,19th,6380,11:00,,
2023/3/18,Victory,20,3th,11th,5100,11:00,,
2023/3/18,Victory,20,5th,20th,5190,22:00,,
2023/3/18,Victory,20,5th,25th,5020,22:00,,
2023/3/18,Draw,20,1th,9th,7770,22:00,,
2023/3/18,Draw,20,5th,17th,7760,22:00,,
2023/3/18,Victory,20,6th,30th,4620,22:00,,
2023/3/19,Victory,20,3th,13th,5350,19:47,,
2023/3/19,Victory,20,5th,16th,5720,20:04,,
2023/3/19,Defeat,20,5th,28th,4930,20:27,,
2023/3/19,Victory,20,1th,13th,5080,20:41,,
2023/3/20,Defeat,20,9th,39th,2900,19:46,,
2023/3/20,Defeat,20,10th,38th,1570,20:01,,
2023/3/20,Victory,20,2th,20th,6180,20:22,,
2023/3/21,Victory,20,2th,7th,7730,8:28,,
2023/3/21,Draw,20,1th,9th,7270,8:56,,
2023/3/21,Victory,20,5th,23th,3490,9:12,,
2023/3/21,Draw,20,8th,22th,6560,16:14,,
2023/3/21,Victory,20,4th,11th,8630,16:29,,
2023/3/21,Victory,50,3th,26th,8790,16:52,,
2023/3/21,Victory,20,9th,32nd,3970,18:37,,
2023/3/22,Victory,20,3th,23th,5510,20:28,,
2023/3/23,Defeat,20,9th,35th,2080,21:28,,
2023/3/24,Draw,20,8th,34th,3920,19:54,,
2023/3/24,Victory,20,2th,14th,5020,20:08,,
2023/3/24,Victory,20,5th,17th,5290,20:28,,
2023/3/24,Defeat,50,15th,46th,3120,20:43,,
2023/3/24,Defeat,20,8th,29th,1040,20:52,,
2023/3/25,Victory,20,2th,21th,5990,17:46,,
2023/3/25,Victory,20,9th,37th,1000,18:00,,
2023/3/25,Victory,20,5th,20th,6210,18:17,,
2023/3/26,Victory,20,6th,6th,666,12:07,,
2023/3/26,Defeat,20,7th,11th,6390,13:53,,
2023/3/26,Defeat,20,10th,39th,2210,14:11,,
2023/3/26,Victory,20,5th,22th,5530,14:26,,
2023/3/26,Victory,20,5th,21th,4970,14:40,,
2023/3/28,Victory,20,4th,14th,5120,19:58,,
2023/3/29,Victory,20,8th,39th,2120,19:35,,
2023/3/29,Victory,20,10th,31st,3320,19:53,,
2023/3/30,Defeat,20,7th,27th,2360,19:46,,
2023/3/30,Defeat,20,6th,26th,3000,19:58,,
2023/3/30,Victory,20,3th,15th,5280,20:11,,
2023/3/30,Draw,20,8th,26th,6120,20:32,,
2023/3/30,Victory,20,5th,11th,5740,9:11,,
2023/4/1,Victory,20,4th,15th,6690,9:30,,
2023/4/1,Draw,20,6th,30th,4360,9:56,,
2023/4/1,Victory,20,2th,3th,10960,10:17,,
2023/4/1,Victory,20,2th,10th,4360,19:28,,
2023/4/1,Victory,20,7th,18th,5270,19:44,,
2023/4/1,Victory,20,7th,25th,5270,20:11,,
2023/4/1,Draw,20,8th,36th,3810,20:37,,
2023/4/2,Victory,20,4th,20th,4650,19:28,,
2023/4/2,Victory,20,3th,13th,5600,19:41,,
2023/4/5,Defeat,20,6th,22th,2940,19:36,,
2023/4/7,Defeat,20,4th,14th,5940,20:40,,
2023/4/8,Victory,20,2th,9th,6840,20:28,,
2023/4/8,Victory,20,3th,5th,9970,20:45,,
2023/4/8,Victory,20,6th,28th,4380,21:05,,
2023/4/8,Victory,20,3th,10th,6600,21:20,,
2023/4/8,Victory,20,2th,9th,5980,21:34,,
2023/4/8,Defeat,20,7th,29th,3230,21:49,,
2023/4/9,Victory,50,1th,12th,10810,20:22,,
2023/4/9,Victory,20,1th,9th,8160,20:39,,
2023/4/9,Defeat,20,9th,35th,1630,20:52,,
2023/4/10,Victory,20,3th,12th,6400,20:11,,
2023/4/10,Victory,20,2th,11th,5010,20:21,,
2023/4/13,Victory,20,6th,22th,4920,20:31,,
2023/4/13,Victory,20,5th,14th,6370,20:45,,
2023/4/15,Defeat,20,6th,16th,4490,8:32,,
2023/4/15,Draw,20,2th,6th,9710,8:58,,
2023/4/15,Victory,20,2th,9th,9370,9:59,,
2023/4/15,Victory,20,2th,11th,7660,20:54,,
2023/4/15,Victory,20,3th,17th,7520,21:13,,
2023/4/15,Defeat,20,7th,29th,1380,21:24,,
2023/4/15,Defeat,20,8th,32nd,2900,21:38,,
2023/4/15,Victory,20,6th,19th,3270,21:50,,
2023/4/16,Victory,20,2th,11th,7700,19:09,,
2023/4/16,Victory,20,4th,15th,6000,19:29,,
2023/4/17,Victory,20,1th,9th,8840,20:32,,
2023/4/18,Defeat,20,7th,27th,2420,19:50,,
2023/4/18,Defeat,20,3th,29th,3540,20:11,,
2023/4/18,Victory,20,4th,15th,3370,20:21,,
2023/4/20,Victory,20,5th,5th,8334,21:45,,
2023/4/21,Victory,20,4th,8th,7084,19:56,,
2023/4/21,Victory,20,1th,13th,7154,20:16,,
2023/4/22,Victory,20,3th,20th,4892,15:36,,
2023/4/22,Victory,20,3th,9th,6786,15:54,,
2023/4/22,Victory,20,6th,24th,3940,16:13,,
2023/4/22,Defeat,20,8th,32nd,3556,16:39,,
2023/4/22,Defeat,20,2th,8th,8932,19:24,,
2023/4/22,Victory,20,3th,5th,7896,19:59,,
2023/4/22,Victory,20,4th,13th,2920,20:26,,
2023/4/22,Victory,50,1th,1th,12440,20:45,,
2023/4/22,Victory,20,1th,6th,6994,21:01,,
2023/4/22,Victory,20,4th,13th,4800,22:48,,
2023/4/22,Victory,20,3th,10th,7212,23:06,,
2023/4/22,Victory,20,5th,17th,5848,23:31,,
2023/4/22,Defeat,20,3th,20th,7190,23:56,,
2023/4/23,Defeat,20,4th,10th,4550,10:04,,
2023/4/23,Defeat,20,2th,13th,6582,10:24,,
2023/4/23,Victory,20,2th,5th,7942,10:43,,
2023/4/23,Victory,20,3th,8th,6734,18:40,,
2023/4/23,Victory,20,2th,16th,6792,19:00,,
2023/4/23,Defeat,50,4th,32nd,5354,19:24,,
2023/4/23,Defeat,50,4th,16th,6878,20:50,,
2023/4/24,Victory,20,2th,4th,8132,19:46,,
2023/4/25,Defeat,20,7th,17th,2610,19:58,,
2023/4/25,Victory,20,2th,7th,8296,20:16,,
2023/4/26,Victory,20,6th,24th,3892,21:26,,
2023/4/26,Victory,20,3th,20th,5010,21:45,,
2023/4/28,Defeat,20,1th,4th,9904,20:05,,
2023/4/28,Defeat,20,4th,14th,6064,8:48,,
2023/4/29,Defeat,20,3th,10th,6974,9:08,,
2023/4/30,Defeat,20,2th,6th,7080,9:58,,
2023/4/30,Defeat,20,4th,10th,8642,10:18,,
2023/4/30,Victory,20,1th,5th,8682,10:38,,
2023/4/30,Victory,20,3th,7th,7006,21:40,,
2023/4/30,Victory,20,5th,2th,10878,22:00,,
2023/4/30,Victory,50,6th,19th,4540,22:14,,
2023/5/1,Victory,20,5th,1th,8342,20:02,,
2023/5/2,Draw,20,4th,9th,7855,22:38,,
2023/5/2,Victory,20,3th,20th,4598,22:59,,
2023/5/2,Draw,20,1th,1th,10327,23:19,,s
2023/5/3,Defeat,20,3th,10th,4380,7:55,,
2023/5/3,Defeat,20,3th,10th,6486,8:15,,
2023/5/3,Defeat,20,3th,5th,7608,8:38,,
2023/5/3,Defeat,20,4th,18th,4815,8:59,,
2023/5/3,Victory,20,2th,4th,10489,9:21,,
2023/5/3,Draw,20,4th,9th,8574,18:33,,
2023/5/3,Defeat,20,4th,30th,3105,18:54,,
2023/5/3,Defeat,20,5th,10th,7926,19:15,,
2023/5/3,Defeat,20,5th,17th,6139,19:34,,
2023/5/3,Draw,20,2th,9th,7059,22:45,,
2023/5/3,Defeat,20,6th,34th,2639,23:05,,
2023/5/4,Draw,20,3th,7th,8681,13:04,,
2023/5/4,Draw,20,4th,20th,5018,13:24,,
2023/5/4,Draw,20,3th,13th,7567,13:45,,
2023/5/5,Draw,20,3th,15th,6455,14:42,,
2023/5/5,Victory,20,2th,5th,10166,15:04,,
2023/5/5,Victory,20,2th,5th,11002,15:31,,
2023/5/5,Defeat,20,8th,29th,2190,20:13,,
2023/5/5,Victory,20,1th,4th,7190,20:34,,
2023/5/5,Defeat,20,4th,15th,5495,20:58,,
